check,details
MASTER_EXISTS,PASS
BATCH10_EXISTS,PASS
BATCH11_EXISTS,PASS
MASTER_GOLD_CHECKPOINT_SHA256,PASS
MASTER_ROW_COUNT,PASS
MASTER_SCHEMA,PASS
MASTER_ID_SEQUENCE,PASS
MASTER_UNIQUE_IDS,PASS
MASTER_REQUIRED_FIELDS,PASS
BATCH11_ROW_COUNT,PASS
BATCH11_SCHEMA,PASS
BATCH11_ID_SEQUENCE,PASS
BATCH11_UNIQUE_IDS,PASS
BATCH11_REQUIRED_FIELDS,PASS
BATCH11_INTENT_BALANCE,PASS
BATCH11_LANGUAGE_BALANCE,PASS
BATCH11_INTENT_LANGUAGE_MATRIX,PASS
BATCH11_METADATA,PASS
BATCH11_INTERNAL_EXACT_DUPLICATES,PASS
BATCH11_EXACT_DUPLICATES_WITH_MASTER,PASS
BATCH11_INTERNAL_NORMALIZED_DUPLICATES,PASS
BATCH11_NORMALIZED_DUPLICATES_WITH_MASTER,PASS
BATCH10_ROW_COUNT,PASS
BATCH10_ID_SEQUENCE,PASS
BATCH10_PRESERVATION,PASS
BATCH11_ID_OVERLAP,PASS
FACTUAL_GATE_ZERO_ERRORS,PASS
RAG_GATE_ZERO_ERRORS,PASS
SEMANTIC_EXACT_DUPLICATES_ZERO,PASS
SEMANTIC_NORMALIZED_DUPLICATES_ZERO,PASS
SEMANTIC_INTERNAL_NORMALIZED_ZERO,PASS
SEMANTIC_CROSS_INTENT_ZERO,PASS
SAME_INTENT_REVIEW_PRESENT,20 candidates
MASTER_UNEXPECTED_CHANGE_CHECK,PASS
POST_MERGE_ID_PLAN,PASS
