check,details
MASTER_EXISTS,PASS
BATCH10_EXISTS,PASS
BATCH11_EXISTS,PASS
BATCH12_EXISTS,PASS
BATCH13_EXISTS,PASS
MASTER_576_GOLD_CHECKPOINT,PASS
MASTER_ROW_COUNT_576,PASS
MASTER_SCHEMA,PASS
MASTER_ID_SEQUENCE,PASS
MASTER_UNIQUE_IDS,PASS
BATCH13_ROW_COUNT,PASS
BATCH13_SCHEMA,PASS
BATCH13_ID_SEQUENCE,PASS
BATCH13_UNIQUE_IDS,PASS
BATCH13_REQUIRED_FIELDS,PASS
BATCH13_INTERNAL_EXACT_DUPLICATES,PASS
BATCH13_EXACT_DUPLICATES_WITH_MASTER,PASS
BATCH13_INTERNAL_NORMALIZED_DUPLICATES,PASS
BATCH13_NORMALIZED_DUPLICATES_WITH_MASTER,PASS
BATCH13_ID_OVERLAP,PASS
BATCH10_PRESERVATION,PASS
BATCH11_PRESERVATION,PASS
BATCH12_PRESERVATION,PASS
POST_MERGE_608_ID_PLAN,PASS
FACTUAL_GATE_ZERO_ERRORS,PASS
RAG_GATE_ZERO_ERRORS,PASS
SEMANTIC_EXACT_DUPLICATES_ZERO,PASS
SEMANTIC_NORMALIZED_DUPLICATES_ZERO,PASS
SEMANTIC_INTERNAL_NORMALIZED_ZERO,PASS
SEMANTIC_CROSS_INTENT_ZERO,PASS
SAME_INTENT_REVIEW_PRESENT,18 candidate rows
MASTER_NO_UNEXPECTED_CHANGE,PASS
