check,details
MASTER_EXISTS,PASS
BATCH10_EXISTS,PASS
BATCH11_EXISTS,PASS
BATCH12_EXISTS,PASS
BATCH13_EXISTS,PASS
BATCH14_EXISTS,PASS
RELEASE_608_GOLD_BASELINE,PASS
RELEASE_608_MANIFEST,PASS
MASTER_608_GOLD_CHECKPOINT,PASS
MASTER_ROW_COUNT,PASS
MASTER_SCHEMA,PASS
MASTER_ID_SEQUENCE,PASS
MASTER_UNIQUE_IDS,PASS
BATCH14_ROW_COUNT,PASS
BATCH14_SCHEMA,PASS
BATCH14_ID_SEQUENCE,PASS
BATCH14_UNIQUE_IDS,PASS
BATCH14_REQUIRED_FIELDS,PASS
BATCH14_INTENT_BALANCE,PASS
BATCH14_LANGUAGE_BALANCE,PASS
BATCH14_INTENT_LANGUAGE_MATRIX,PASS
BATCH14_METADATA_CONSISTENCY,PASS
BATCH14_INTERNAL_EXACT_DUPLICATES,PASS
BATCH14_MASTER_EXACT_DUPLICATES,PASS
BATCH14_INTERNAL_NORMALIZED_DUPLICATES,PASS
BATCH14_MASTER_NORMALIZED_DUPLICATES,PASS
BATCH14_ID_OVERLAP,PASS
BATCH10_PRESERVATION,PASS
BATCH11_PRESERVATION,PASS
BATCH12_PRESERVATION,PASS
BATCH13_PRESERVATION,PASS
BATCH14_RELOAD_EXACT,PASS
FACTUAL_GATE_ZERO_ERRORS,PASS
SEMANTIC_EXACT_MASTER_ZERO,PASS
SEMANTIC_NORMALIZED_MASTER_ZERO,PASS
SEMANTIC_INTERNAL_NORMALIZED_ZERO,PASS
SEMANTIC_CROSS_INTENT_ZERO,PASS
SAME_INTENT_REVIEW_REPORT_PRESENT,17 candidate rows
MASTER_UNCHANGED_SINCE_608_RELEASE,PASS
